铁岭市     东经123.45-125.1       北纬41.9833—43.3833
上海市    东经120.85---122.2       北纬30.6667---31.8833
高平市     东经112.6666─113.1666   北纬35.666—36.0
阳江市    东经111.2763─112.3641   北纬21.47916─22.6838
衡阳市     东经110.5377--113.2755     北纬26.1180—27.4567
武汉市     东经113.6994--115.0869   北纬29.9828--31.3703
珠海市    东经113.0661～114.3203  北纬21.8161～22.4536
江门市    东经111.9994—113.2536   北纬21.4661—22.8536
三明市    东经116.3827-118.6536      北纬 25.4994-27.1203
永济市    东经110.2661-112.0702    北纬34.5994- 35.8202
长春市    东经124.3161～127.0369   北纬43.0994～45.2536
通辽市     东经119.2661－123.7203    北纬42.2661-45.6869
贵阳市    东经106.1327—107.2864   北纬26.1994—27.3697
天津市    东经116.7327－118.2364   北纬38.5827－40.2531
云南省    东经97.5167—106.1833    北纬 21.1333-29.25
黑龙江省  东经 121.183—135.0833    北纬 43.4167—53.55
广东省    东经109.75-117.334       北纬20.2-25.51
山西省    东经110.2494—114.5536   北纬34.5827—40.7203
山东省    东经114.3327—122.7203   北纬34.3827 – 38.3869
河北省     东经113.0827—119.8669     北纬36.0327—42.6203
河南省    东经110.3661—116.6531   北纬31.3994—36.3827
贵州省    东经103.6161~109.5869    北纬24.6327~29.2203
福建省    东经115.8494—120.6702   北纬23.5161—28.3702
辽宁省    东经118.8994—125.7703   北纬38.7327—43.4369
吉林省    东经121.6494--131.3203   北纬40.8827—46.3036
江苏省    东经116.3036—121.9661   北纬30.7531--35.3364
江西省    东经114.0494—1184703    北纬24.1327—29.1536 
浙江省    东经118 --123              北纬27.2161--31.5203
安徽省    东经114.9161一119.6203  北纬29.6864— 34.6494
湖北省    东经108.3661—116.1327   北纬29.0994—33.3364
湖南省
陕西省    东经105.4864—111.2661   北纬31.7030--39.5864
甘肃省    东经92.2327--108.7697    北纬32.1864—42.9661
台湾省    东经119.3036—124.5703   北纬20.7661--25.9369
海南省    东经108.6203—111.0994   北纬18.1697--20.1697
四川省    东经97.3661—108.5329    北纬26.0661--34.3203
内蒙古    东经97.2161—126.0702    北纬37.4161—53.3869
青海省     东经89.4161--103.0702      北纬314161--39.0703
宁夏      东经104.2869--107.6536    北纬35.2494—39.8758
西藏      东经78.4167—99.1          北纬26.7333—36.5333
新疆
广西壮族自治区  东经104.4864--112.0827 北纬20.9161—26.3994
